,end station name,end station id,end station latitude,end station longitude,count
0,1 Ave & E 110 St,3496.0,40.7923272,-73.9383,13841
1,1 Ave & E 16 St,504.0,40.73221853,-73.98165557,81620
2,1 Ave & E 18 St,2003.0,40.73381219196632,-73.98054420948029,59782
3,1 Ave & E 30 St,536.0,40.74144387,-73.97536082,42989
4,1 Ave & E 44 St,455.0,40.75001986,-73.96905301,36189
5,1 Ave & E 5 St,3744.0,40.725864,-73.986389,600
6,1 Ave & E 62 St,3142.0,40.7612274,-73.96094022,47694
7,1 Ave & E 68 St,3141.0,40.76500525,-73.95818491,64430
8,1 Ave & E 78 St,3140.0,40.77140426,-73.9535166,47910
9,1 Ave & E 94 St,3312.0,40.7817212,-73.94594,15959
10,1 Pl & Clinton St,3386.0,40.6809591,-73.99905709,9976
11,10 Ave & W 28 St,489.0,40.75066386,-74.00176802,40637
12,10 Hudson Yards,3441.0,40.752957,-74.00264,4150
13,10 St & 2 Ave,3795.0,40.671907,-73.993612,1972
14,10 St & 5 Ave,3317.0,40.6686273,-73.98700053,7243
15,10 St & 7 Ave,3306.0,40.6662078,-73.98199886,10304
16,11 Ave & W 27 St,458.0,40.751396,-74.005226,69957
17,11 Ave & W 41 St,478.0,40.76030096,-73.99884222,58528
18,11 Ave & W 59 St,530.0,40.77149671054441,-73.99046033620834,54609
19,11 St & 35 Ave,3567.0,40.7627442,-73.9391141,1355
20,11 St & 43 Ave,3620.0,40.7519071,-73.9479119,2736
21,12 Ave & W 125 St,3881.0,40.818299,-73.960405,890
22,12 Ave & W 40 St,514.0,40.76087502,-74.00277668,103748
23,12 St & 4 Ave,3322.0,40.668603,-73.9904394,3614
24,14 St & 5 Ave,3319.0,40.666287,-73.98895053,12176
25,14 St & 7 Ave,3310.0,40.663779,-73.98396846,11098
26,19 St & 24 Ave,3524.0,40.7774552,-73.9225403,6430
27,2 Ave & 36 St - Citi Bike HQ at Industry City,3478.0,40.65708866668485,-74.00870203971863,6355
28,2 Ave & 9 St,3401.0,40.6724811,-73.99331394,1346
29,2 Ave & E 104 St,3425.0,40.7892105,-73.94370784,13164
30,2 Ave & E 122 St,3499.0,40.8006721,-73.9349,5377
31,2 Ave & E 31 St,528.0,40.74290902,-73.97706058,61671
32,2 Ave & E 72 St,3725.0,40.7687620293096,-73.95840793848038,29369
33,2 Ave & E 96 St,3318.0,40.7839636,-73.9471673,26813
34,2 Ave & E 99 St,3338.0,40.7862586,-73.94552579,8438
35,21 St & 31 Dr,3591.0,40.7659,-73.930819,6744
36,21 St & 36 Ave,3564.0,40.7601853,-73.9362726,1803
37,21 St & 38 Ave,3559.0,40.7576314,-73.9391224,1747
38,21 St & 43 Ave,3128.0,40.75052534,-73.94594845,4130
39,21 St & Hoyt Ave S,3513.0,40.774645,-73.923706,3881
40,21 St & Queens Plaza North,3130.0,40.75325964,-73.94335788,9978
41,23 Ave & 27 St,3525.0,40.776165,-73.9153175,3170
42,24 Ave & 26 St,3515.0,40.774591,-73.918544,5520
43,24 Ave & 29 St,3523.0,40.7729,-73.916142,4606
44,24 St & 41 Ave,3556.0,40.7527085,-73.9397405,6199
45,27 Ave & 3 St,3811.0,40.77485,-73.9342,686
46,27 Ave & 4 St,3512.0,40.7747175,-73.9337894,1167
47,27 Ave & 9 St,3621.0,40.7739825,-73.9309134,3807
48,27 St & Hunter St,3618.0,40.7485,-73.941275,7858
49,28 Ave & 35 St,3617.0,40.7671,-73.9169858,6220
50,28 Ave & 44 St,3691.0,40.76408932350688,-73.91065120697021,5584
51,28 St & 36 Ave,3563.0,40.757186,-73.932719,4161
52,28 St & 38 Ave,3560.0,40.754876,-73.934326,4484
53,28 St & 41 Ave,3555.0,40.751047,-73.93797,10726
54,3 Ave & 14 St,3324.0,40.6685455,-73.99333264,5849
55,3 Ave & Carroll St,3762.0,40.677027,-73.9865,5005
56,3 Ave & E 100 St,3327.0,40.7877214,-73.94728331,4995
57,3 Ave & E 112 St,3551.0,40.795508,-73.941606,4724
58,3 Ave & E 62 St,3134.0,40.76312584,-73.96526895,24632
59,3 Ave & E 71 St,3152.0,40.76873687,-73.96119945,10031
60,3 Ave & E 72 St,3375.0,40.7699426,-73.96060712,11663
61,3 Ave & E 95 St,3675.0,40.78459679884892,-73.94968539476395,7603
62,3 Ave & Schermerhorn St,298.0,40.68683208,-73.9796772,18015
63,3 St & 3 Ave,3373.0,40.6750705,-73.98775226,13579
64,3 St & 7 Ave,3365.0,40.6703837,-73.97839676,13520
65,3 St & Hoyt St,3381.0,40.6777287,-73.99364123,6860
66,3 St & Prospect Park West,3354.0,40.668132,-73.97363831,16977
67,30 Ave & 21 St,3612.0,40.7703743,-73.9286078,3843
68,31 Ave & 14 St,3607.0,40.7682,-73.9322662,3546
69,31 Ave & 30 St,3603.0,40.7647,-73.9240312,5311
70,31 Ave & 34 St,3602.0,40.763154,-73.920827,8895
71,31 Ave & Crescent St,3605.0,40.7658346,-73.9265474,5462
72,31 Ave & Steinway St,3662.0,40.761293897289086,-73.916916847229,7639
73,31 St & 23 Ave,3526.0,40.7747878,-73.9125551,17973
74,31 St & 35 Ave,3653.0,40.75820464696758,-73.92832159996033,344
75,31 St & Astoria Blvd,3516.0,40.7699176,-73.9184057,6739
76,31 St & Broadway,3593.0,40.761584,-73.925921,15694
77,31 St & Hoyt Ave N,3517.0,40.7711528,-73.9170074,3567
78,31 St & Newtown Ave,3721.0,40.7675487799971,-73.9209334552288,17417
79,31 St & Northern Blvd,3654.0,40.75186951421875,-73.93349289894103,4247
80,31 St & Thomson Ave,3123.0,40.74469738,-73.93540375,5435
81,34 Ave & 13 St,3586.0,40.7638753,-73.9364848,2149
82,34 Ave & 21 St,3577.0,40.7628138,-73.9342862,3476
83,34 Ave & 38 St,3572.0,40.756913,-73.921631,13925
84,34 St & 35 Ave,3568.0,40.7569332,-73.9262231,4728
85,35 Ave & 10 St,3646.0,40.76315481910373,-73.93985509872437,4178
86,35 Ave & 37 St,3570.0,40.7557327,-73.9236611,6120
87,35 St & 34 Ave,3573.0,40.7580583,-73.9242751,4283
88,35 St & Broadway,3595.0,40.760339,-73.9222427,5441
89,36 Ave & 10 St,3565.0,40.7614376,-73.9411265,4647
90,36 Ave & 31 St,3745.0,40.75651272984955,-73.92957486212252,6390
91,37 Ave & 35 St,3561.0,40.7531106,-73.9279917,4364
92,37 St & 24 Ave,3522.0,40.7701477,-73.9120938,3623
93,38 Ave & 29 St,3892.0,40.75473,-73.93367,290
94,39 St & 2 Ave - Citi Bike HQ at Industry City,3477.0,40.65539977447831,-74.01062786579132,3182
95,4 Ave & 2 St,3371.0,40.674613422475815,-73.98501142859459,1399
96,4 Ave & 9 St,3403.0,40.6705135,-73.98876585,10215
97,40 Ave & 9 St,3557.0,40.75742,-73.945133,3630
98,40 Ave & Crescent St,3716.0,40.7535992020056,-73.93795609474182,2331
99,43 St & Broadway,3597.0,40.7577284,-73.9166368,7734
100,44 Dr & 21 St,3615.0,40.748,-73.9460927,11814
101,44 Dr & Jackson Ave,3126.0,40.74718234,-73.9432635,15586
102,45 Rd & 11 St,3125.0,40.74708586,-73.94977234,12384
103,46 Ave & 5 St,3124.0,40.74731,-73.95451,18331
104,47 Ave & 31 St,3221.0,40.743,-73.93561,4843
105,47 Ave & Skillman Ave,3704.0,40.7437524099784,-73.94176483154297,1947
106,48 Ave & 30 Pl,3647.0,40.74128309355993,-73.93725872039794,2398
107,48 Ave & 5 St,3122.0,40.74436328706688,-73.9558732509613,4565
108,49 Ave & 21 St,3606.0,40.74252,-73.948852,5793
109,5 Ave & 3 St,3368.0,40.6728155,-73.98352355,17967
110,5 Ave & E 103 St,3367.0,40.7922553,-73.95249933,25156
111,5 Ave & E 126 St,3527.0,40.80698,-73.941747,6460
112,5 Ave & E 29 St,474.0,40.7451677,-73.98683077,58717
113,5 Ave & E 63 St,3136.0,40.766368,-73.971518,21489
114,5 Ave & E 73 St,3137.0,40.77282817,-73.96685276,53284
115,5 Ave & E 78 St,3143.0,40.77632142182271,-73.96427392959595,39063
116,5 Ave & E 88 St,3282.0,40.78307,-73.95939,55329
117,5 Ave & E 93 St,3292.0,40.7857851,-73.957481,19199
118,5 St & 51 Ave,3608.0,40.7423737,-73.9566,4406
119,5 St & 6 Ave,3405.0,40.6704836,-73.98208968,6475
120,5 St & Market St,3692.0,40.6999974843885,-73.97440128028393,4482
121,58th St Depot,3250.0,40.71690978045965,-73.98383796215057,4
122,6 Ave & 12 St,3313.0,40.6663181,-73.9854617,7718
123,6 Ave & 9 St,3304.0,40.668127,-73.98377641,13338
124,6 Ave & Broome St,3746.0,40.724308321602166,-74.00473035871983,47887
125,6 Ave & Canal St,377.0,40.72243797,-74.00566443,57865
126,6 Ave & Spring St,3474.0,40.7252556952547,-74.00412082672119,5330
127,6 Ave & W 33 St,505.0,40.74901271,-73.98848395,75926
128,6 Ave & W 34 St,3799.0,40.74964,-73.98805,19990
129,6 St & 7 Ave,3297.0,40.6686627,-73.97988067,8091
130,7 Ave & Central Park South,3724.0,40.7667405590595,-73.9790689945221,52240
131,7 Ave & Park Pl,3416.0,40.6776147,-73.97324283,20596
132,7 St & 3 Ave,3399.0,40.67260298150126,-73.98983001708984,6775
133,7 St & 5 Ave,3404.0,40.6704922,-73.98541675,8072
134,8 Ave & W 31 St,3255.0,40.7505853470215,-73.9946848154068,121631
135,8 Ave & W 33 St,490.0,40.751551,-73.993934,94567
136,8 Ave & W 52 St,447.0,40.76370739,-73.9851615,56549
137,9 Ave & W 18 St,434.0,40.74317449,-74.00366443,30414
138,9 Ave & W 22 St,509.0,40.7454973,-74.00197139,47741
139,9 Ave & W 28 St,3259.0,40.74937024193277,-73.99923384189606,44875
140,9 Ave & W 45 St,479.0,40.76019252,-73.9912551,63942
141,9 St & 44 Rd,3127.0,40.74966,-73.9521,5500
142,Adam Clayton Powell Blvd & W 115 St,3511.0,40.802535,-73.9532423,5056
143,Adam Clayton Powell Blvd & W 118 St,3520.0,40.804372,-73.951475,7441
144,Adam Clayton Powell Blvd & W 123 St,3510.0,40.8078316,-73.949373,9105
145,Adam Clayton Powell Blvd & W 126 St,3629.0,40.80949534777948,-73.94776493310928,8351
146,Adelphi St & Myrtle Ave,270.0,40.69308257,-73.97178913,19185
147,Albany Ave & Fulton St,3044.0,40.6800105,-73.938475,2898
148,Allen St & Hester St,361.0,40.71605866,-73.99190759,51259
149,Allen St & Rivington St,401.0,40.72019576,-73.98997825,53990
150,Allen St & Stanton St,312.0,40.722055,-73.989111,66318
151,Amsterdam Ave & W 119 St,3542.0,40.8086249,-73.9596214,7873
152,Amsterdam Ave & W 125 St,3541.0,40.813358,-73.956461,7977
153,Amsterdam Ave & W 66 St,3356.0,40.7746671,-73.98470567,18910
154,Amsterdam Ave & W 73 St,3167.0,40.77966809007312,-73.98093044757842,53738
155,Amsterdam Ave & W 79 St,3360.0,40.7829391,-73.9786517,32497
156,Amsterdam Ave & W 82 St,3171.0,40.78524672,-73.97667321,31063
157,Astoria Park S & Shore Blvd,3514.0,40.7767,-73.927631,6139
158,Atlantic Ave & Fort Greene Pl,83.0,40.68382604,-73.97632328,19515
159,Atlantic Ave & Furman St,398.0,40.69165183,-73.9999786,26985
160,Avenue C & E 18 St,3733.0,40.730563,-73.973984,25382
161,Avenue D & E 12 St,339.0,40.72580614,-73.97422494,17050
162,Avenue D & E 3 St,302.0,40.72082834,-73.97793172,26868
163,Avenue D & E 8 St,266.0,40.72368361,-73.97574813,23013
164,Baltic St & 5 Ave,3417.0,40.6795766,-73.97854971,15341
165,Bank St & Hudson St,346.0,40.73652889,-74.00618026,40920
166,Bank St & Washington St,238.0,40.7361967,-74.00859207,36653
167,Banker St & Meserole Ave,3109.0,40.72606,-73.95621,15596
168,Barclay St & Church St,417.0,40.71291224,-74.01020234,43255
169,Barrow St & Hudson St,127.0,40.73172428,-74.00674436,63589
170,Battery Pl & Greenwich St,3908.0,40.70463,-74.01507,1670
171,Bayard St & Baxter St,355.0,40.71602118,-73.99974372,40047
172,Bayard St & Leonard St,3452.0,40.71915571696044,-73.94885390996933,11707
173,Beaver St & Fayette St,3823.0,40.70099,-73.93921,906
174,Bedford Ave & Bergen St,3571.0,40.676368,-73.952918,12969
175,Bedford Ave & Montgomery St,3803.0,40.665816,-73.956934,1265
176,Bedford Ave & Nassau Ave,3107.0,40.72311651,-73.95212324,27448
177,Bedford Ave & S 9 St,443.0,40.70853074,-73.96408963,6647
178,Bergen St & Flatbush Ave,3414.0,40.680944723477296,-73.97567331790923,15909
179,Bergen St & Smith St,3409.0,40.6867443,-73.99063168,37259
180,Bergen St & Vanderbilt Ave,3558.0,40.6794388,-73.9680438,16216
181,Berkeley Pl & 6 Ave,3339.0,40.6765304,-73.97846879,9707
182,Berkeley Pl & 7 Ave,3346.0,40.675146838709786,-73.97523209452629,21840
183,Berry St & N 8 St,3092.0,40.7190095,-73.95852515,30748
184,Bialystoker Pl & Delancey St,356.0,40.71622644,-73.98261206,18261
185,Boerum St & Broadway,3071.0,40.70538077,-73.94976519,8752
186,Bond St & Bergen St,3411.0,40.6849668,-73.98620772,12542
187,Bond St & Fulton St,3232.0,40.68962188790333,-73.98304268717766,31386
188,Broad St & Bridge St,260.0,40.70365182,-74.01167797,16665
189,Broadway & 12 St,3589.0,40.7668,-73.9347774,4777
190,Broadway & Battery Pl,304.0,40.70463334,-74.01361706,53226
