,start station name,start station id,start station latitude,start station longitude,count
98,34th Ave & Vernon Blvd,4304,40.76535380385866,-73.93986314535141,53
99,35 Ave & 10 St,3646,40.76315481910373,-73.93985509872437,4378
100,35 Ave & 37 St,3570,40.7557327,-73.9236611,6597
101,35 St & 23 Ave,4306,40.77301508291382,-73.91119033098221,6
102,35 St & 34 Ave,3573,40.7580583,-73.9242751,6735
103,35 St & Broadway,3595,40.760339,-73.9222427,8834
104,36 Ave & 10 St,3565,40.7614376,-73.9411265,8300
105,36 Ave & 31 St,3745,40.75651272984955,-73.92957486212252,10642
106,37 Ave & 35 St,3561,40.7531106,-73.9279917,5848
107,37 St & 24 Ave,3522,40.7701477,-73.9120938,4724
108,38 Ave & 29 St,3892,40.75473,-73.93367,7001
109,39 St & 2 Ave,3477,40.65539977447831,-74.01062786579132,6586
110,4 Ave & 9 St,3403,40.6705135,-73.98876585,8754
111,4 Ave & E 12 St,3905,40.732647,-73.99011,34004
112,40 Ave & 9 St,3557,40.75742,-73.945133,4984
113,40 Ave & Crescent St,3716,40.7535992020056,-73.93795609474182,4179
114,43 St & Broadway,3597,40.7577284,-73.9166368,13537
115,44 Dr & 21 St,3615,40.748,-73.9460927,9701
116,44 Dr & Jackson Ave,3126,40.74718234,-73.9432635,17685
117,45 Rd & 11 St,3125,40.74708586,-73.94977234,12597
118,46 Ave & 5 St,3124,40.74731,-73.95451,22870
119,47 Ave & 31 St,3221,40.743,-73.93561,6803
120,47 Ave & Skillman Ave,3704,40.7437524099784,-73.94176483154297,1610
121,48 Ave & 30 Pl,3647,40.74128309355993,-73.93725872039794,3289
122,48 Ave & 5 St,3122,40.74436328706688,-73.9558732509613,7347
123,49 Ave & 21 St,3606,40.74252,-73.948852,3824
124,5 Av & W 139 St,3997,40.815484,-73.935856,6776
125,5 Ave & 3 St,3368,40.6728155,-73.98352355,16716
126,5 Ave & E 103 St,3367,40.7922553,-73.95249933,29162
127,5 Ave & E 126 St,3527,40.80698,-73.941747,10778
128,5 Ave & E 135 St,3995,40.812191,-73.937838,4335
129,5 Ave & E 29 St,474,40.7451677,-73.98683077,44379
130,5 Ave & E 63 St,3136,40.766368,-73.971518,26248
131,5 Ave & E 72 St,3137,40.77282817,-73.96685276,7850
132,5 Ave & E 73 St,3137,40.77282817,-73.96685276,54658
133,5 Ave & E 78 St,3143,40.77632142182271,-73.96427392959595,38750
134,5 Ave & E 88 St,3282,40.78307,-73.95939,51502
135,5 Ave & E 93 St,3292,40.7857851,-73.957481,20771
136,5 Ave & W 131 St,3926,40.81014,-73.93973,5277
137,5 St & 51 Ave,3608,40.7423737,-73.9566,4603
138,5 St & 6 Ave,3405,40.6704836,-73.98208968,5461
139,5 St & Market St,3692,40.6999974843885,-73.97440128028393,391
140,6 Ave & 12 St,3313,40.6663181,-73.9854617,7820
141,6 Ave & 9 St,3304,40.668127,-73.98377641,8932
142,6 Ave & Broome St,3746,40.724308321602166,-74.00473035871983,44740
143,6 Ave & Canal St,377,40.72243797,-74.00566443,21464
144,6 Ave & W 33 St,505,40.74901271,-73.98848395,68871
145,6 Ave & W 34 St,3799,40.74964,-73.98805,54028
146,6 Ave & W 45 St,4232,40.756951,-73.982631,3522
147,6 St & 7 Ave,3297,40.6686627,-73.97988067,11339
148,7 Ave & Central Park South,3724,40.7667405590595,-73.9790689945221,50918
149,7 Ave & Park Pl,3416,40.6776147,-73.97324283,17482
150,7 St & 3 Ave,3399,40.67260298150126,-73.98983001708984,5256
151,7 St & 5 Ave,3404,40.6704922,-73.98541675,7102
152,8 Ave & W 16 St,3894,40.740983,-74.001702,7402
153,8 Ave & W 31 St,3255,40.7505853470215,-73.9946848154068,58276
154,8 Ave & W 33 St,490,40.751551,-73.993934,64669
155,8 Ave & W 38 St,4044,40.75461,-73.99177,33794
156,8 Ave & W 52 St,447,40.76370739,-73.9851615,58495
157,8 St & Astoria Blvd,4311,40.7725996921817,-73.93266275525093,19
158,9 Ave & W 18 St,434,40.74317449,-74.00366443,29101
159,9 Ave & W 22 St,509,40.7454973,-74.00197139,66526
160,9 Ave & W 28 St,3259,40.74937024193277,-73.99923384189606,40676
161,9 Ave & W 45 St,479,40.76019252,-73.9912551,51656
162,9 St & 44 Rd,3127,40.74966,-73.9521,5608
