,end station name,end station id,end station latitude,end station longitude,count
0,1 Ave & E 110 St,3496,40.7923272,-73.9383,938
1,1 Ave & E 16 St,504,40.73221853,-73.98165557,3825
2,1 Ave & E 18 St,2003,40.73381219196632,-73.98054420948029,3063
3,1 Ave & E 30 St,536,40.74144387,-73.97536082,3136
4,1 Ave & E 39 St,4121,40.74714,-73.97113,3398
5,1 Ave & E 44 St,455,40.75001986,-73.96905301,1421
6,1 Ave & E 5 St,3744,40.725864,-73.986389,2577
7,1 Ave & E 62 St,3142,40.7612274,-73.96094022,3316
8,1 Ave & E 68 St,3141,40.76500525,-73.95818491,7282
9,1 Ave & E 78 St,3140,40.77140426,-73.9535166,3802
10,1 Ave & E 94 St,3312,40.7817212,-73.94594,1358
11,1 Pl & Clinton St,3386,40.6809591,-73.99905709,391
12,10 Ave & W 28 St,489,40.75066386,-74.00176802,2813
13,10 St & 2 Ave,3795,40.671907,-73.993612,284
14,10 St & 5 Ave,3317,40.6686273,-73.98700053,437
15,10 St & 7 Ave,3306,40.6662078,-73.98199886,578
16,11 Ave & W 27 St,458,40.751396,-74.005226,1764
17,11 Ave & W 41 St,478,40.76030096,-73.99884222,3451
18,11 Ave & W 59 St,530,40.77149671054441,-73.99046033620834,1888
19,11 St & 43 Ave,3620,40.7519071,-73.9479119,239
20,12 Ave & W 125 St,3881,40.818299,-73.960405,499
21,12 Ave & W 40 St,514,40.76087502,-74.00277668,2964
22,12 St & 4 Ave,3322,40.668603,-73.9904394,422
23,14 St & 5 Ave,3319,40.666287,-73.98895053,850
24,14 St & 7 Ave,3310,40.663779,-73.98396846,638
25,18 St & 27 Ave,4309,40.772768286288304,-73.92743647098541,123
26,19 St & 24 Ave,3524,40.7774552,-73.9225403,294
27,2 Ave & 36 St,3478,40.65708866668485,-74.00870203971863,501
28,2 Ave & E 104 St,3425,40.7892105,-73.94370784,864
29,2 Ave & E 122 St,3499,40.8006721,-73.9349,327
30,2 Ave & E 125 St,3994,40.802554,-73.933509,377
31,2 Ave & E 31 St,528,40.74290902,-73.97706058,3536
32,2 Ave & E 72 St,3725,40.7687620293096,-73.95840793848038,3129
33,2 Ave & E 96 St,3318,40.7839636,-73.9471673,2002
34,2 Ave & E 99 St,3338,40.7862586,-73.94552579,819
35,21 Ave & Crescent St,4321,40.780478,-73.912212,11
36,21 Ave & Shore Blvd,4275,40.783956,-73.916894,3
37,21 St & 21 Ave,4327,40.782465,-73.914527,8
38,21 St & 23 Ave,4302,40.778557,-73.919046,166
39,21 St & 31 Dr,3591,40.7659,-73.930819,446
40,21 St & 36 Ave,3564,40.7601853,-73.9362726,190
41,21 St & 38 Ave,3559,40.7576314,-73.9391224,101
42,21 St & 43 Ave,3128,40.75052534,-73.94594845,264
43,21 St & Hoyt Ave S,3513,40.774645,-73.923706,352
44,21 St & Queens Plaza North,3130,40.75325964,-73.94335788,463
45,23 Ave & 27 St,3525,40.776165,-73.9153175,233
46,24 Ave & 26 St,3515,40.774591,-73.918544,187
47,24 Ave & 29 St,3523,40.7729,-73.916142,262
48,24 St & 38 Ave,4310,40.756351,-73.936515,75
49,24 St & 41 Ave,3808,40.752474,-73.939991,334
50,25 Ave & 41 St,4256,40.767666,-73.910963,32
51,27 Ave & 3 St,3811,40.77485,-73.9342,173
52,27 Ave & 9 St,3621,40.7739825,-73.9309134,211
53,27 St & Hunter St,3618,40.7485,-73.941275,576
54,28 Ave & 35 St,3617,40.7671,-73.9169858,311
55,28 Ave & 44 St,3691,40.76408932350688,-73.91065120697021,270
56,28 St & 36 Ave,3563,40.757186,-73.932719,237
57,28 St & 41 Ave,3555,40.751047,-73.93797,513
58,3 Ave & 14 St,3324,40.6685455,-73.99333264,306
59,3 Ave & Carroll St,3762,40.677027,-73.9865,331
60,3 Ave & E 100 St,3327,40.7877214,-73.94728331,465
61,3 Ave & E 112 St,3551,40.795508,-73.941606,474
62,3 Ave & E 163 St,4137,40.823872,-73.908699,91
63,3 Ave & E 169 St,4151,40.832678,-73.905158,76
64,3 Ave & E 170 St,4174,40.834857,-73.903743,127
65,3 Ave & E 172 St,4159,40.839586,-73.900277,33
66,3 Ave & E 174 St - Bathgate Vaccination Site,4161,40.84224,-73.8985,91
67,3 Ave & E 62 St,3134,40.76312584,-73.96526895,1454
68,3 Ave & E 71 St,3152,40.76873687,-73.96119945,921
69,3 Ave & E 72 St,3375,40.7699426,-73.96060712,1013
70,3 Ave & Franklin Ave,4138,40.82696,-73.907451,57
71,3 Ave & Schermerhorn St,298,40.68683208,-73.9796772,940
72,3 St & 3 Ave,3373,40.6750705,-73.98775226,661
73,3 St & 7 Ave,3365,40.6703837,-73.97839676,795
74,3 St & Hoyt St,3381,40.6777287,-73.99364123,303
75,3 St & Prospect Park West,3354,40.668132,-73.97363831,1058
76,30 Ave & 21 St,3612,40.7703743,-73.9286078,290
77,30 Ave & 41 St,4263,40.763422,-73.914142,124
