,start station name,start station id,start station latitude,start station longitude,count
0,1 Ave & E 110 St,3496.0,40.7923272,-73.9383,13667
1,1 Ave & E 16 St,504.0,40.73221853,-73.98165557,82553
2,1 Ave & E 18 St,2003.0,40.73381219196632,-73.98054420948029,61365
3,1 Ave & E 30 St,536.0,40.74144387,-73.97536082,42826
4,1 Ave & E 44 St,455.0,40.75001986,-73.96905301,37028
5,1 Ave & E 5 St,3744.0,40.725864,-73.986389,654
6,1 Ave & E 62 St,3142.0,40.7612274,-73.96094022,47471
7,1 Ave & E 68 St,3141.0,40.76500525,-73.95818491,64430
8,1 Ave & E 78 St,3140.0,40.77140426,-73.9535166,47886
9,1 Ave & E 94 St,3312.0,40.7817212,-73.94594,15564
10,1 Pl & Clinton St,3386.0,40.6809591,-73.99905709,10288
11,10 Ave & W 28 St,489.0,40.75066386,-74.00176802,40407
12,10 Hudson Yards,3441.0,40.752957,-74.00264,4131
13,10 St & 2 Ave,3795.0,40.671907,-73.993612,1940
14,10 St & 5 Ave,3317.0,40.6686273,-73.98700053,7194
15,10 St & 7 Ave,3306.0,40.6662078,-73.98199886,10787
16,11 Ave & W 27 St,458.0,40.751396,-74.005226,69098
17,11 Ave & W 41 St,478.0,40.76030096,-73.99884222,58984
18,11 Ave & W 59 St,530.0,40.77149671054441,-73.99046033620834,54492
19,11 St & 35 Ave,3567.0,40.7627442,-73.9391141,1398
20,11 St & 43 Ave,3620.0,40.7519071,-73.9479119,2738
21,12 Ave & W 125 St,3881.0,40.818299,-73.960405,827
22,12 Ave & W 40 St,514.0,40.76087502,-74.00277668,99300
23,12 St & 4 Ave,3322.0,40.668603,-73.9904394,3577
24,14 St & 5 Ave,3319.0,40.666287,-73.98895053,12140
25,14 St & 7 Ave,3310.0,40.663779,-73.98396846,11698
26,19 St & 24 Ave,3524.0,40.7774552,-73.9225403,6399
27,2 Ave & 36 St - Citi Bike HQ at Industry City,3478.0,40.65708866668485,-74.00870203971863,5349
28,2 Ave & 9 St,3401.0,40.6724811,-73.99331394,1331
29,2 Ave & E 104 St,3425.0,40.7892105,-73.94370784,13063
30,2 Ave & E 122 St,3499.0,40.8006721,-73.9349,5282
31,2 Ave & E 31 St,528.0,40.74290902,-73.97706058,62399
32,2 Ave & E 72 St,3725.0,40.7687620293096,-73.95840793848038,29412
33,2 Ave & E 96 St,3318.0,40.7839636,-73.9471673,26174
34,2 Ave & E 99 St,3338.0,40.7862586,-73.94552579,8397
35,21 St & 31 Dr,3591.0,40.7659,-73.930819,6652
36,21 St & 36 Ave,3564.0,40.7601853,-73.9362726,1822
37,21 St & 38 Ave,3559.0,40.7576314,-73.9391224,1761
38,21 St & 43 Ave,3128.0,40.75052534,-73.94594845,4121
39,21 St & Hoyt Ave S,3513.0,40.774645,-73.923706,3875
40,21 St & Queens Plaza North,3130.0,40.75325964,-73.94335788,10034
41,23 Ave & 27 St,3525.0,40.776165,-73.9153175,3148
42,24 Ave & 26 St,3515.0,40.774591,-73.918544,5496
43,24 Ave & 29 St,3523.0,40.7729,-73.916142,4618
44,24 St & 41 Ave,3556.0,40.7527085,-73.9397405,6230
45,27 Ave & 3 St,3811.0,40.77485,-73.9342,677
46,27 Ave & 4 St,3512.0,40.7747175,-73.9337894,1165
47,27 Ave & 9 St,3621.0,40.7739825,-73.9309134,3791
48,27 St & Hunter St,3618.0,40.7485,-73.941275,7879
49,28 Ave & 35 St,3617.0,40.7671,-73.9169858,6283
50,28 Ave & 44 St,3691.0,40.76408932350688,-73.91065120697021,5595
51,28 St & 36 Ave,3563.0,40.757186,-73.932719,4245
52,28 St & 38 Ave,3560.0,40.754876,-73.934326,4531
53,28 St & 41 Ave,3555.0,40.751047,-73.93797,10803
54,3 Ave & 14 St,3324.0,40.6685455,-73.99333264,5761
55,3 Ave & Carroll St,3762.0,40.677027,-73.9865,4710
56,3 Ave & E 100 St,3327.0,40.7877214,-73.94728331,4917
57,3 Ave & E 112 St,3551.0,40.795508,-73.941606,4622
58,3 Ave & E 62 St,3134.0,40.76312584,-73.96526895,25245
59,3 Ave & E 71 St,3152.0,40.76873687,-73.96119945,10102
60,3 Ave & E 72 St,3375.0,40.7699426,-73.96060712,11706
61,3 Ave & E 95 St,3675.0,40.78459679884892,-73.94968539476395,7556
62,3 Ave & Schermerhorn St,298.0,40.68683208,-73.9796772,16923
63,3 St & 3 Ave,3373.0,40.6750705,-73.98775226,13191
64,3 St & 7 Ave,3365.0,40.6703837,-73.97839676,13717
65,3 St & Hoyt St,3381.0,40.6777287,-73.99364123,6797
66,3 St & Prospect Park West,3354.0,40.668132,-73.97363831,18895
67,30 Ave & 21 St,3612.0,40.7703743,-73.9286078,3824
68,31 Ave & 14 St,3607.0,40.7682,-73.9322662,3518
69,31 Ave & 30 St,3603.0,40.7647,-73.9240312,5355
70,31 Ave & 34 St,3602.0,40.763154,-73.920827,8909
71,31 Ave & Crescent St,3605.0,40.7658346,-73.9265474,5485
72,31 Ave & Steinway St,3662.0,40.761293897289086,-73.916916847229,7667
73,31 St & 23 Ave,3526.0,40.7747878,-73.9125551,17989
74,31 St & 35 Ave,3653.0,40.75820464696758,-73.92832159996033,344
75,31 St & Astoria Blvd,3516.0,40.7699176,-73.9184057,6810
76,31 St & Broadway,3593.0,40.761584,-73.925921,15900
77,31 St & Hoyt Ave N,3517.0,40.7711528,-73.9170074,3601
78,31 St & Newtown Ave,3721.0,40.7675487799971,-73.9209334552288,17565
79,31 St & Northern Blvd,3654.0,40.75186951421875,-73.93349289894103,4470
80,31 St & Thomson Ave,3123.0,40.74469738,-73.93540375,5361
81,34 Ave & 13 St,3586.0,40.7638753,-73.9364848,2122
82,34 Ave & 21 St,3577.0,40.7628138,-73.9342862,3477
83,34 Ave & 38 St,3572.0,40.756913,-73.921631,13973
84,34 St & 35 Ave,3568.0,40.7569332,-73.9262231,4720
85,35 Ave & 10 St,3646.0,40.76315481910373,-73.93985509872437,4205
86,35 Ave & 37 St,3570.0,40.7557327,-73.9236611,6163
87,35 St & 34 Ave,3573.0,40.7580583,-73.9242751,4268
88,35 St & Broadway,3595.0,40.760339,-73.9222427,5495
89,36 Ave & 10 St,3565.0,40.7614376,-73.9411265,4627
90,36 Ave & 31 St,3745.0,40.75651272984955,-73.92957486212252,6526
91,37 Ave & 35 St,3561.0,40.7531106,-73.9279917,4354
92,37 St & 24 Ave,3522.0,40.7701477,-73.9120938,3621
93,38 Ave & 29 St,3892.0,40.75473,-73.93367,284
94,39 St & 2 Ave - Citi Bike HQ at Industry City,3477.0,40.65539977447831,-74.01062786579132,2843
95,4 Ave & 2 St,3371.0,40.674613422475815,-73.98501142859459,1291
96,4 Ave & 9 St,3403.0,40.6705135,-73.98876585,9917
97,40 Ave & 9 St,3557.0,40.75742,-73.945133,3624
98,40 Ave & Crescent St,3716.0,40.7535992020056,-73.93795609474182,2338
99,43 St & Broadway,3597.0,40.7577284,-73.9166368,7704
100,44 Dr & 21 St,3615.0,40.748,-73.9460927,11742
101,44 Dr & Jackson Ave,3126.0,40.74718234,-73.9432635,15633
102,45 Rd & 11 St,3125.0,40.74708586,-73.94977234,12328
103,46 Ave & 5 St,3124.0,40.74731,-73.95451,18177
104,47 Ave & 31 St,3221.0,40.743,-73.93561,4807
