,start_station_name,count,start_station_id,start_lat,start_lng
0,1 Ave & E 110 St,22211,7522.02,40.7923272,-73.9383
1,1 Ave & E 16 St,69320,5779.08,40.73221853,-73.98165557
2,1 Ave & E 18 St,72872,5854.09,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,46688,6079.03,40.74144387,-73.97536082
4,1 Ave & E 39 St,54145,6303.01,40.74714,-73.97113
5,1 Ave & E 44 St,31758,6379.03,40.75001986,-73.96905301
6,1 Ave & E 6 St,61221,5626.15,40.72633085971696,-73.98616880178452
7,1 Ave & E 62 St,70071,6753.08,40.7612274,-73.96094022
8,1 Ave & E 68 St,108412,6822.09,40.76500525,-73.95818491
9,1 Ave & E 78 St,71810,7020.09,40.77140426,-73.9535166
10,1 Ave & E 94 St,20155,7286.05,40.7817212,-73.94594
11,1 Pl & Clinton St,14397,4193.14,40.6809591,-73.99905709
12,1 St & 6 Ave,12762,3946.07,40.672784,-73.979826
13,10 Ave & W 14 St,75803,6157.04,40.74198159994023,-74.00831580162048
14,10 Ave & W 202 St,925,8543.01,40.861281970750994,-73.921417593956
15,10 Ave & W 204 St,1131,8579.09,40.862638,-73.92006
16,10 Ave & W 207 St,3055,8613.09,40.864632,-73.918598
17,10 Ave & W 215 St,1532,8679.03,40.86932465640094,-73.91519755125046
18,10 Ave & W 28 St,68835,6459.04,40.75066386,-74.00176802
19,10 St & 2 Ave,7028,3922.02,40.671907,-73.993612
20,10 St & 5 Ave,12660,3842.08,40.6686273,-73.98700053
21,10 St & 7 Ave,23011,3762.08,40.6662078,-73.98199886
22,11 Ave & Prospect Ave,8958,3538.09,40.65629,-73.977335
23,11 Ave & W 27 St,59789,6425.04,40.751396,-74.005226
24,11 Ave & W 41 St,90159,6726.01,40.76030096,-73.99884222
25,11 Ave & W 59 St,48521,7059.01,40.77149671054441,-73.99046033620834
26,11 St & 43 Ave,5104,6438.04,40.7519071,-73.9479119
27,12 Ave & 36 St,3158,3056.05,40.643546,-73.986418
28,12 Ave & W 125 St,24897,7886.02,40.818299,-73.960405
29,12 Ave & W 40 St,92550,6765.01,40.76087502,-74.00277668
30,12 St & 4 Ave,10590,3882.01,40.668603,-73.9904394
31,14 St & 5 Ave,16580,3771.06,40.666287,-73.98895053
32,14 St & 7 Ave,17451,3731.11,40.663779,-73.98396846
33,16th St & 4th Ave,6014,3811.05,40.666197,-73.992466
34,17 St & 5 Ave,12461,3699.07,40.663493,-73.991007
35,18 St & 27 Ave,9637,7062.07,40.772768286288304,-73.92743647098541
36,19 St & 24 Ave,10194,7186.15,40.7774552,-73.9225403
37,19 St & 8 Ave,2573,3547.04,40.658489,-73.985543
38,2 Av & 37 St,1128,3460.04,40.656326,-74.009627
39,2 Ave & 32 St,1726,3532.02,40.659176,-74.006584
40,2 Ave & 36 St,3770,3460.01,40.65708866668485,-74.00870203971863
41,2 Ave & 39 St,461,3460.05,40.655955791,-74.009629607
42,2 Ave & 43 St,40,3428.04,40.65292829363811,-74.01286482810974
43,2 Ave & 44 St,32,3356.07,40.65230357303063,-74.01344954967499
44,2 Ave & E 104 St,16795,7436.11,40.7892105,-73.94370784
45,2 Ave & E 122 St,9825,7622.12,40.8006721,-73.9349
46,2 Ave & E 125 St,10592,7648.16,40.802554,-73.933509
47,2 Ave & E 29 St,69807,6122.09,40.74172351097472,-73.97809267044067
48,2 Ave & E 31 St,61768,6197.02,40.74290902,-73.97706058
49,2 Ave & E 55 St,22580,6650.08,40.757920208794026,-73.96638214588165
50,2 Ave & E 72 St,61856,6925.09,40.7687620293096,-73.95840793848038
51,2 Ave & E 96 St,35010,7338.02,40.7839636,-73.9471673
52,2 Ave & E 99 St,15715,7386.1,40.7862586,-73.94552579
53,20 Ave & 21 St,2375,7363.04,40.784003,-73.912297
54,20 Ave & 31 St,2043,7256.01,40.78001336610564,-73.90667617321014
55,20 Ave & 33 St,264,7226.03,40.779399,-73.905708
56,20 Ave & 38 St,6569,7196.04,40.777112,-73.902382
57,20 Ave & 42 St,2419,7163.07,40.775415,-73.900063
58,20 Ave & 48 St,2289,7066.01,40.772899,-73.896849
59,20 Ave & Shore Blvd,2002,7391.02,40.785994,-73.915098
60,21 Ave & 80 St,1777,7060.02,40.770888,-73.889914
61,21 Ave & Crescent St,9986,7284.01,40.780478,-73.912212
62,21 Ave & Shore Blvd,4483,7342.01,40.783956,-73.916894
63,21 St & 21 Ave,5636,7314.03,40.782465,-73.914527
64,21 St & 23 Ave,3646,7210.07,40.778557,-73.919046
65,21 St & 31 Dr,9306,6865.03,40.7659,-73.930819
66,21 St & 36 Ave,4350,6729.02,40.7601853,-73.9362726
67,21 St & 38 Ave,3006,6656.05,40.7576314,-73.9391224
68,21 St & 4 Ave,8321,3668.04,40.662584,-73.995554
69,21 St & 43 Ave,7080,6395.01,40.75052534,-73.94594845
70,21 St & Hoyt Ave S,11158,7126.01,40.774645,-73.923706
71,21 St & Queens Plaza North,13675,6471.02,40.75325964,-73.94335788
72,23 Ave & 27 St,6314,7178.02,40.776165,-73.9153175
73,23 Rd & 31 St,2829,7082.14,40.77336750284339,-73.91382560133934
74,23 St & 3 Ave,1248,3707.01,40.662611,-73.998623
75,24 Ave & 26 St,7315,7152.1,40.774591,-73.918544
76,24 Ave & 29 St,7462,7119.04,40.7729,-73.916142
77,24 St & 38 Ave,6669,6581.14,40.756351,-73.936515
78,24 St & 41 Ave,9480,6505.09,40.752474,-73.939991
79,24 St & 5 Ave,6385,3555.04,40.659555,-73.995068
80,25 Ave & 41 St,10008,6943.07,40.767666,-73.910963
81,27 Ave & 3 St,3352,7132.08,40.77485,-73.9342
82,27 Ave & 9 St,6931,7098.05,40.7739825,-73.9309134
83,27 St & Hunter St,18150,6310.06,40.7485,-73.941275
84,28 Ave & 35 St,8466,6951.03,40.7671,-73.9169858
85,28 Ave & 44 St,6616,6879.04,40.76408932350688,-73.91065120697021
86,28 St & 36 Ave,8570,6614.01,40.757186,-73.932719
87,28 St & 41 Ave,16733,6462.19,40.751047,-73.93797
88,29 St & 5 Ave,2407,3523.06,40.656986,-73.998194
89,3 Ave & 14 St,3939,3850.03,40.6685455,-73.99333264
90,3 Ave & 17 St,2002,3779.02,40.666168,-73.995549
91,3 Ave & Carroll St,7716,4143.04,40.677027,-73.9865
92,3 Ave & E 100 St,9994,7414.17,40.7877214,-73.94728331
93,3 Ave & E 112 St,9976,7543.15,40.795508,-73.941606
94,3 Ave & E 163 St,4092,7974.01,40.823872,-73.908699
95,3 Ave & E 169 St,8379,8103.05,40.832678,-73.905158
96,3 Ave & E 170 St,6861,8137.06,40.834857,-73.903743
97,3 Ave & E 172 St,3929,8205.05,40.839586,-73.900277
98,3 Ave & E 174 St,2874,8241.07,40.84224,-73.8985
99,3 Ave & E 174 St - Bathgate Vaccination Site,601,8241.07,40.84224,-73.8985
100,3 Ave & E 62 St,40379,6762.04,40.76312584,-73.96526895
101,3 Ave & E 71 St,22137,6960.1,40.76873687,-73.96119945
102,3 Ave & E 72 St,16656,7028.04,40.7699426,-73.96060712
103,3 Ave & Franklin Ave,3214,8012.04,40.82696,-73.907451
104,3 Ave & Schermerhorn St,19551,4437.01,40.68683208,-73.9796772
105,3 Ave & Wakeman Pl,1954,2883.03,40.638246,-74.024714
106,3 St & 3 Ave,12485,4028.03,40.6750705,-73.98775226
107,3 St & 7 Ave,25134,3905.15,40.6703837,-73.97839676
108,3 St & Hoyt St,8517,4110.1,40.6777287,-73.99364123
109,3 St & Prospect Park West,30174,3865.05,40.668132,-73.97363831
110,30 Ave & 12 St,2874,7034.08,40.771768093,-73.931589484
111,30 Ave & 21 St,6505,6996.01,40.7703743,-73.9286078
112,30 Ave & 41 St,9113,6812.06,40.763422,-73.914142
113,30 Ave & 47 St,5272,6774.13,40.761294,-73.909562
114,30 St & 4 Ave,4227,3564.04,40.657743,-74.001141
115,30 St & 48 Ave,1142,6076.02,40.7413272,-73.937999
116,31 Ave & 14 St,7344,6966.04,40.7682,-73.9322662
117,31 Ave & 30 St,11554,6857.09,40.7647,-73.9240312
118,31 Ave & 34 St,15266,6819.15,40.763154,-73.920827
119,31 Ave & 57 St,2362,6621.06,40.757357,-73.904726
120,31 Ave & 61 St,2593,6654.05,40.757525,-73.901614
121,31 Ave & Crescent St,13969,6893.1,40.7658346,-73.9265474
122,31 Ave & Steinway St,13275,6782.01,40.7611488,-73.9170071
123,31 Pl & Hunters Point Ave,656,6033.01,40.74021356884924,-73.93537044525146
124,31 Rd & 21 St,4402,6929.02,40.766824,-73.930486
125,31 St & 21 Ave,6340,7202.07,40.77813,-73.90842
126,31 St & 23 Ave,20399,7144.01,40.7747878,-73.9125551
127,31 St & Astoria Blvd,7714,6989.07,40.7699176,-73.9184057
128,31 St & Broadway,22345,6789.04,40.761584,-73.925921
129,31 St & Ditmars Blvd,16242,7144.02,40.776168,-73.910485
130,31 St & Hoyt Ave N,10042,7018.01,40.7711528,-73.9170074
131,31 St & Newtown Ave,24547,6923.2,40.7675487799971,-73.9209334552288
132,31 St & Northern Blvd,8632,6495.17,40.75186951421875,-73.93349289894103
133,31 St & Thomson Ave,7376,6227.02,40.74469738,-73.93540375
134,33 St & 47 Ave,1594,6185.04,40.74283,-73.9321
135,34 Ave & 13 St,3362,6836.07,40.7638753,-73.9364848
136,34 Ave & 21 St,5930,6798.01,40.7628138,-73.9342862
