,Census Tract Start,count
291,48209010702,1
292,48209010805,1
293,48209010901,4
294,48209010902,4
295,48209010906,2
296,48209010907,2
297,48209010908,9
298,48209010909,14
299,48209010910,17
300,48453000101,1527
301,48453000102,441
302,48453000203,5890
303,48453000204,20922
304,48453000205,3984
305,48453000206,2048
306,48453000302,14928
307,48453000304,3124
308,48453000305,6051
309,48453000306,43909
310,48453000307,2059
311,48453000401,88416
312,48453000402,15553
313,48453000500,38163
314,48453000601,419556
315,48453000603,307012
316,48453000604,263186
317,48453000700,118796
318,48453000801,3471
319,48453000802,3473
320,48453000803,12085
321,48453000804,18774
322,48453000901,24593
323,48453000902,194207
324,48453001000,37556
325,48453001100,1466004
326,48453001200,199962
327,48453001303,101354
328,48453001304,12747
329,48453001305,245884
330,48453001307,4696
331,48453001308,13585
332,48453001401,85070
333,48453001402,5537
334,48453001403,2882
335,48453001501,1416
336,48453001503,4301
337,48453001504,3176
338,48453001505,2555
339,48453001602,8327
340,48453001603,2624
341,48453001604,1585
342,48453001605,7197
343,48453001606,208
344,48453001705,165
345,48453001706,94
346,48453001707,323
347,48453001712,971
348,48453001713,344
349,48453001714,53
350,48453001716,17
351,48453001718,213
352,48453001719,46
353,48453001722,69
354,48453001728,213
355,48453001729,32
356,48453001733,1
357,48453001737,13
358,48453001738,32
359,48453001740,56
360,48453001741,8
361,48453001742,1
362,48453001745,17
363,48453001746,12
364,48453001747,81
365,48453001748,75
366,48453001749,42
367,48453001750,381
368,48453001751,226
369,48453001752,181
370,48453001753,565
371,48453001754,305
372,48453001755,17
373,48453001756,7
374,48453001757,48
375,48453001760,8
376,48453001761,7
377,48453001765,5
378,48453001766,2
379,48453001769,15
380,48453001770,5
381,48453001772,7
382,48453001774,8
383,48453001775,1
384,48453001776,10
385,48453001777,24
386,48453001779,2
387,48453001781,3
388,48453001782,10
389,48453001785,48
390,48453001786,14
391,48453001804,619
392,48453001805,274
393,48453001806,290
394,48453001811,196
395,48453001812,536
396,48453001813,224
397,48453001817,1258
398,48453001818,973
399,48453001819,291
400,48453001820,515
401,48453001821,684
402,48453001822,428
403,48453001823,467
404,48453001824,21
405,48453001826,266
406,48453001828,34
407,48453001829,47
408,48453001832,19
409,48453001833,175
410,48453001834,110
411,48453001835,24
412,48453001839,97
413,48453001840,34
414,48453001841,27
415,48453001842,15
416,48453001843,141
417,48453001844,255
418,48453001845,215
419,48453001846,11
420,48453001847,85
421,48453001848,98
422,48453001849,12202
423,48453001850,1066
424,48453001851,14
425,48453001853,2
426,48453001854,2
427,48453001855,14
428,48453001856,42
429,48453001857,9
430,48453001858,3
431,48453001860,2
432,48453001861,2
433,48453001862,12
434,48453001863,16
435,48453001864,9
436,48453001901,12352
437,48453001908,16
438,48453001910,1334
439,48453001911,21822
440,48453001912,20
441,48453001913,20
442,48453001914,24
443,48453001915,72
444,48453001916,11
445,48453001917,14
446,48453001918,24
447,48453001919,226
448,48453002002,554
449,48453002003,977
450,48453002004,8642
451,48453002005,5113
452,48453002104,466
453,48453002105,2489
454,48453002106,543
455,48453002107,388
456,48453002108,191
457,48453002109,1393
458,48453002110,617
459,48453002111,3018
460,48453002112,298
461,48453002113,90
462,48453002201,49
463,48453002202,77
464,48453002207,14
465,48453002208,75
466,48453002209,10
467,48453002210,1
468,48453002211,10
469,48453002212,6
470,48453002304,55279
471,48453002307,3959
472,48453002308,12223
473,48453002310,65
474,48453002312,1430
475,48453002313,1906
476,48453002314,5317
477,48453002315,2794
478,48453002316,8647
479,48453002317,8262
480,48453002318,9380
481,48453002319,2
482,48453002402,1037
483,48453002403,1154
484,48453002407,12
485,48453002409,163
486,48453002410,278
487,48453002411,870
488,48453002412,144
489,48453002413,146
490,48453002419,125
491,48453002421,189
492,48453002422,248
493,48453002423,58
494,48453002424,138
495,48453002425,17
496,48453002426,78
497,48453002427,153
498,48453002428,10
499,48453002429,39
500,48453002430,22
501,48453002431,964
502,48453002432,16
503,48453002433,25
504,48453002434,3
505,48453002435,59
506,48453002500,43
507,48453980000,15
508,48491020112,4
509,48491020114,3
510,48491020301,3
511,48491020310,1
512,48491020311,29
513,48491020312,1
514,48491020314,1
515,48491020316,6
516,48491020317,1
517,48491020318,55
518,48491020319,1
519,48491020320,4
520,48491020322,8
521,48491020326,1
522,48491020327,1
523,48491020328,1
524,48491020403,1
525,48491020404,5
526,48491020405,13
527,48491020406,49
528,48491020408,17
529,48491020409,7
530,48491020410,30
531,48491020411,9
532,48491020503,2
533,48491020504,3
534,48491020506,18
535,48491020508,3
536,48491020509,1
537,48491020510,3
538,48491020602,1
539,48491020603,1
540,48491020703,3
541,48491020704,1
542,48491020706,2
543,48491020707,1
544,48491020809,1
545,48491021403,1
546,48491021502,1
547,48491021503,1
548,48491021504,1
549,48491021505,3
550,48491021507,1
551,48491021603,1
552,OUT_OF_BOUNDS,41091
