start_station_name,count,start_station_id,start_lat,start_lng
3 Ave & Wakeman Pl,2080,2883.03,40.638246,-74.024714
3 St & 3 Ave,11609,4028.03,40.67507,-73.987752
3 St & 7 Ave,22993,3905.15,40.670383,-73.978396
3 St & Hoyt St,6994,4110.1,40.677728,-73.993641
3 St & Prospect Park West,32148,3865.05,40.668132,-73.973638
30 Ave & 21 St,5664,6996.01,40.770374,-73.928608
30 Ave & 41 St,6680,6812.06,40.763422,-73.914142
30 Ave & 47 St,3759,6774.13,40.761294,-73.909562
30 St & 4 Ave,3325,3564.04,40.657743,-74.001141
31 Ave & 14 St,5788,6966.04,40.7682,-73.932266
31 Ave & 30 St,11066,6857.09,40.7647,-73.924031
31 Ave & 34 St,15107,6819.15,40.763154,-73.920827
31 Ave & 57 St,2591,6621.06,40.757357,-73.904726
31 Ave & 61 St,1612,6654.05,40.757525,-73.901614
31 Ave & Crescent St,12606,6893.1,40.765834,-73.926547
31 Ave & Steinway St,13378,6782.01,40.761148,-73.917007
31 Rd & 21 St,2251,6929.02,40.766824,-73.930486
31 St & 21 Ave,4644,7202.07,40.77813,-73.90842
31 St & 23 Ave,15339,7144.01,40.774787,-73.912555
31 St & Astoria Blvd,11723,6989.07,40.769917,-73.918405
31 St & Broadway,20206,6789.04,40.761584,-73.925921
31 St & Ditmars Blvd,11947,7144.02,40.776168,-73.910485
31 St & Hoyt Ave N,7374,7018.01,40.771152,-73.917007
31 St & Newtown Ave,20156,6923.2,40.767548,-73.920933
31 St & Northern Blvd,7647,6495.17,40.751869,-73.933492
31 St & Thomson Ave,6215,6227.02,40.744697,-73.935404
34 Ave & 13 St,3379,6836.07,40.763875,-73.936484
34 Ave & 21 St,4912,6798.01,40.762813,-73.934286
34 Ave & 31 St,5991,6720.07,40.759604,-73.927144
34 Ave & 38 St,12386,6638.01,40.756913,-73.921631
34 Ave & 45 St,3346,6596.1,40.754795,-73.917014
34 Ave & 48 St,4545,6554.05,40.75388,-73.914952
34 St & 35 Ave,6766,6605.08,40.756933,-73.926223
34 St & 38 Ave,4050,6453.02,40.752443,-73.929737
34 St & 4 Ave,2592,3492.04,40.655278,-74.003101
34 St & 5 Ave,1343,3451.01,40.654098,-74.001131
34th Ave & Vernon Blvd,5939,6873.01,40.765354,-73.939863
35 Ave & 10 St,3794,6806.06,40.763154,-73.939855
35 Ave & 37 St,7729,6563.12,40.755732,-73.923661
35 St & 21 Ave,2131,7170.04,40.776745,-73.906558
35 St & 23 Ave,4489,7047.07,40.773015,-73.91119
35 St & 30 Ave,11053,6887.03,40.765476,-73.918116
35 St & 34 Ave,6712,6679.11,40.758058,-73.924275
35 St & Broadway,10415,6750.16,40.760339,-73.922242
36 Ave & 10 St,6769,6737.03,40.761437,-73.941126
36 Ave & 31 St,11868,6572.08,40.756513,-73.929575
36 St & 3 Ave,5062,3460.02,40.655716,-74.006664
36 St & 4 Ave,4688,3420.01,40.654144,-74.00422
36 St & Ditmars Blvd,5491,7111.1,40.774306,-73.908335
37 Ave & 35 St,3821,6529.02,40.75311,-73.927991
37 St & 24 Ave,4324,6981.16,40.770147,-73.912093
38 Ave & 29 St,7219,6538.11,40.75473,-73.93367
38 St & 30 Ave,12145,6850.01,40.764174,-73.915839
38 St & Northern Blvd,2879,6486.07,40.752372,-73.925384
39 St & 2 Ave,2071,3501.01,40.6554,-74.010628
4 Ave & 17 St,4735,3739.06,40.665507,-73.993037
4 Ave & 26 St,3093,3596.04,40.660079,-73.998633
4 Ave & 3 St,10370,4028.04,40.673746,-73.985649
4 Ave & 9 St,13026,3955.05,40.670513,-73.988765
4 Ave & E 12 St,51011,5788.15,40.732647,-73.99011
4 Ave & Shore Road Dr,2816,2832.03,40.637033,-74.022141
40 Ave & 9 St,5457,6664.05,40.75742,-73.945133
40 Ave & Crescent St,5883,6462.05,40.753599,-73.937956
41 St & 3 Ave,629,3388.02,40.652512,-74.008906
41 St & 4 Ave,2918,3347.03,40.651354,-74.007168
42 Pl & Northern Blvd,2955,6520.07,40.753091,-73.920603
42 St & 1 Ave,1354,3428.02,40.654798,-74.014372
43 St & 23 Ave,2099,7009.06,40.769673,-73.906018
43 St & 35 Ave,1966,6520.06,40.754139,-73.919543
43 St & 37 Ave,7157,6401.01,40.750181,-73.919998
43 St & Broadway,7110,6670.03,40.757728,-73.916636
44 Dr & 21 St,13432,6278.04,40.748,-73.946092
44 Dr & Jackson Ave,21270,6352.01,40.747182,-73.943263
44 St & 2 Ave,1213,3356.05,40.652502,-74.013587
44 St & 3 Ave,1219,3315.05,40.651173,-74.011405
44 St & 6 Ave,2378,3233.06,40.647105,-74.004483
45 Ave & 21 St,2185,4455.1,40.68825517,-73.99545193
45 Rd & 11 St,15345,6319.07,40.74737076,-73.94777298
45 St & 4 Ave,3069,6319.01,40.747085,-73.949772
46 Ave & 5 St,27285,3275.03,40.649145,-74.009486
46 St & 25 Ave,3355,6286.02,40.74731,-73.95451
46 St & 28 Ave,2924,6907.03,40.765753,-73.90676
46 St & 30 Rd,2339,6842.02,40.763328,-73.908782
46 St & 6 Ave,1681,6703.06,40.76072,-73.910989
46 St & 7 Ave,3632,3161.02,40.645921,-74.005708
47 Ave & 31 St,7298,3117.05,40.644743,-74.003754
47 Ave & Skillman Ave,1590,6151.03,40.743,-73.93561
47 St & 3 Ave,916,6237.01,40.743752,-73.941764
48 Ave & 30 Pl,3094,3243.02,40.649143,-74.012384
48 Ave & 31 St,147,6076.01,40.741283,-73.937259
48 Ave & 5 St,8245,6151.05,40.74133,-73.93616
48 St & 2 Ave,750,6212.04,40.744363,-73.955873
48 St & 37 Ave,6692,3283.05,40.650176,-74.015606
48 St & 5 Ave,2062,6435.02,40.751555,-73.915026
48 St & Broadway,6056,3202.06,40.646351,-74.009271
49 Ave & 21 St,6211,6629.06,40.755763,-73.912715
49 St & 25 Ave,937,6128.04,40.74252,-73.948852
49 St & 31 Ave,3048,6804.01,40.764496,-73.904632
5 Av & W 139 St,8909,6662.01,40.758057,-73.909831
5 Ave & 3 St,24111,7851.04,40.815484,-73.935856
5 Ave & 37 St,2539,3987.06,40.672815,-73.983523
5 Ave & 41 St,5203,3379.03,40.652657,-74.002356
5 Ave & 66 St,2298,3306.03,40.649983,-74.005144
5 Ave & 67 St,49,2782.02,40.635679,-74.020005
5 Ave & E 103 St,33936,2782.02,40.635679,-74.020005
5 Ave & E 126 St,4137,7511.19,40.792255,-73.952499
5 Ave & E 135 St,7390,7701.19,40.80698,-73.941747
5 Ave & E 29 St,59623,7769.06,40.812191,-73.937838
5 Ave & E 63 St,33141,6248.06,40.745167,-73.98683
5 Ave & E 72 St,73542,6904.06,40.766368,-73.971518
5 Ave & E 78 St,46479,7100.07,40.772828,-73.966852
5 Ave & E 87 St,21706,7161.08,40.776321,-73.964273
5 Ave & E 88 St,4860,7323.09,40.78231448,-73.95980537
5 Ave & E 93 St,43147,7323.1,40.78307,-73.95939
