end_station_name,count,end_station_id,end_lat,end_lng
3 Ave & E 174 St - Bathgate Vaccination Site,3231,8241.07,40.84224,-73.8985
3 Ave & E 62 St,33524,6762.04,40.76312584,-73.96526895
3 Ave & E 71 St,18585,6960.1,40.76873687,-73.96119945
3 Ave & E 72 St,18162,7028.04,40.7699426,-73.96060712
3 Ave & Franklin Ave,2278,8012.04,40.82696,-73.907451
3 Ave & Schermerhorn St,25189,4437.01,40.68683208,-73.9796772
3 Ave & Wakeman Pl,2152,2883.03,40.638246,-74.024714
3 St & 3 Ave,12491,4028.03,40.675071,-73.987752
3 St & 7 Ave,22900,3905.15,40.6703837,-73.97839676
3 St & Hoyt St,7426,4110.1,40.6777287,-73.99364123
3 St & Prospect Park West,29455,3865.05,40.668132,-73.973638
30 Ave & 21 St,5672,6996.01,40.770374,-73.928608
30 Ave & 41 St,6642,6812.06,40.763422,-73.914142
30 Ave & 47 St,3650,6774.13,40.761294,-73.909562
30 St & 4 Ave,3904,3564.04,40.657743,-74.001141
31 Ave & 14 St,5801,6966.04,40.7682,-73.9322662
31 Ave & 30 St,10990,6857.09,40.7647,-73.9240312
31 Ave & 34 St,15004,6819.15,40.763154,-73.920827
31 Ave & 57 St,2549,6621.06,40.757357,-73.904726
31 Ave & 61 St,1675,6654.05,40.757525,-73.901614
31 Ave & Crescent St,12424,6893.1,40.7658346,-73.9265474
31 Ave & Steinway St,13375,6782.01,40.7611488,-73.9170071
31 Rd & 21 St,2292,6929.02,40.766824,-73.930486
31 St & 21 Ave,4592,7202.07,40.77813,-73.90842
31 St & 23 Ave,15323,7144.01,40.7747878,-73.9125551
31 St & Astoria Blvd,11784,6989.07,40.769918,-73.918406
31 St & Broadway,19458,6789.04,40.761584,-73.925921
31 St & Ditmars Blvd,11933,7144.02,40.776168,-73.910485
31 St & Hoyt Ave N,7376,7018.01,40.7711528,-73.9170074
31 St & Newtown Ave,19932,6923.2,40.767549,-73.920933
31 St & Northern Blvd,6610,6495.17,40.75186951,-73.9334929
31 St & Thomson Ave,6574,6227.02,40.74469738,-73.93540375
34 Ave & 13 St,3389,6836.07,40.7638753,-73.9364848
34 Ave & 21 St,4904,6798.01,40.7628138,-73.9342862
34 Ave & 31 St,5947,6720.07,40.75960447,-73.92714411
34 Ave & 38 St,12341,6638.01,40.756913,-73.921631
34 Ave & 45 St,3362,6596.1,40.754795,-73.917014
34 Ave & 48 St,4563,6554.05,40.75388,-73.914952
34 St & 35 Ave,6711,6605.08,40.7569332,-73.9262231
34 St & 38 Ave,3898,6453.02,40.752443,-73.929737
34 St & 4 Ave,2658,3492.04,40.655278,-74.003101
34 St & 5 Ave,1942,3451.01,40.654098,-74.001131
34th Ave & Vernon Blvd,5866,6873.01,40.765354,-73.939863
35 Ave & 10 St,3792,6806.06,40.763155,-73.939855
