,end_station_name,count,end_station_id,end_lat,end_lng
0,1 Ave & E 110 St,22305,7522.02,40.7923272,-73.9383
1,1 Ave & E 16 St,69087,5779.08,40.73221853,-73.98165557
2,1 Ave & E 18 St,72895,5854.09,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,47006,6079.03,40.74144387,-73.97536082
4,1 Ave & E 39 St,54451,6303.01,40.74714,-73.97113
5,1 Ave & E 44 St,31798,6379.03,40.75001986,-73.96905301
6,1 Ave & E 6 St,61502,5626.15,40.72633085971696,-73.98616880178452
7,1 Ave & E 62 St,70399,6753.08,40.7612274,-73.96094022
8,1 Ave & E 68 St,108678,6822.09,40.76500525,-73.95818491
9,1 Ave & E 78 St,71797,7020.09,40.77140426,-73.9535166
10,1 Ave & E 94 St,20149,7286.05,40.7817212,-73.94594
11,1 Pl & Clinton St,14422,4193.14,40.6809591,-73.99905709
12,1 St & 6 Ave,12706,3946.07,40.672784,-73.979826
13,10 Ave & W 14 St,76413,6157.04,40.74198159994023,-74.00831580162048
14,10 Ave & W 202 St,1000,8543.01,40.861281970750994,-73.921417593956
15,10 Ave & W 204 St,1300,8579.09,40.862638,-73.92006
16,10 Ave & W 207 St,3131,8613.09,40.864632,-73.918598
17,10 Ave & W 215 St,1543,8679.03,40.86932465640094,-73.91519755125046
18,10 Ave & W 28 St,70543,6459.04,40.75066386,-74.00176802
19,10 St & 2 Ave,7286,3922.02,40.671907,-73.993612
20,10 St & 5 Ave,12698,3842.08,40.6686273,-73.98700053
21,10 St & 7 Ave,23000,3762.08,40.6662078,-73.98199886
22,11 Ave & Prospect Ave,8984,3538.09,40.65629,-73.977335
23,11 Ave & W 27 St,59943,6425.04,40.751396,-74.005226
24,11 Ave & W 41 St,90113,6726.01,40.76030096,-73.99884222
25,11 Ave & W 59 St,48454,7059.01,40.77149671054441,-73.99046033620834
26,11 St & 43 Ave,5321,6438.04,40.7519071,-73.9479119
27,11 St & Washington St,33,HB502,40.74998490907138,-74.02715027332306
28,12 Ave & 36 St,3332,3056.05,40.643546,-73.986418
29,12 Ave & W 125 St,25029,7886.02,40.818299,-73.960405
30,12 Ave & W 40 St,94296,6765.01,40.76087502,-74.00277668
31,12 St & 4 Ave,10724,3882.01,40.668603,-73.9904394
32,12 St & Sinatra Dr N,141,HB201,40.75060414236896,-74.02402013540268
33,14 St & 5 Ave,16595,3771.06,40.666287,-73.98895053
34,14 St & 7 Ave,17372,3731.11,40.663779,-73.98396846
35,14 St Ferry - 14 St & Shipyard Ln,217,HB202,40.75296063046496,-74.02435272932053
36,16th St & 4th Ave,6178,3811.05,40.666197,-73.992466
37,17 St & 5 Ave,12511,3699.07,40.663493,-73.991007
38,18 St & 27 Ave,9603,7062.07,40.772768286288304,-73.92743647098541
39,19 St & 24 Ave,10222,7186.15,40.7774552,-73.9225403
40,19 St & 8 Ave,2035,3547.04,40.658489,-73.985543
41,2 Av & 37 St,1433,3460.04,40.656326,-74.009627
42,2 Ave & 32 St,1939,3532.02,40.659176,-74.006584
43,2 Ave & 36 St,4232,3460.01,40.65708866668485,-74.00870203971863
44,2 Ave & 39 St,539,3460.05,40.655722167971554,-74.01000827550888
45,2 Ave & 43 St,53,3428.04,40.65292829363811,-74.01286482810974
46,2 Ave & 44 St,34,3356.07,40.65230357303063,-74.01344954967499
47,2 Ave & E 104 St,16763,7436.11,40.7892105,-73.94370784
48,2 Ave & E 122 St,9868,7622.12,40.8006721,-73.9349
49,2 Ave & E 125 St,10660,7648.16,40.802554,-73.933509
50,2 Ave & E 29 St,67935,6122.09,40.74172351097472,-73.97809267044067
51,2 Ave & E 31 St,61937,6197.02,40.74290902,-73.97706058
52,2 Ave & E 55 St,21473,6650.08,40.757920208794026,-73.96638214588165
53,2 Ave & E 72 St,61619,6925.09,40.7687620293096,-73.95840793848038
54,2 Ave & E 96 St,35250,7338.02,40.7839636,-73.9471673
55,2 Ave & E 99 St,15750,7386.10,40.7862586,-73.94552579
56,20 Ave & 21 St,2381,7363.04,40.784003,-73.912297
57,20 Ave & 31 St,2056,7256.01,40.78001336610564,-73.90667617321014
58,20 Ave & 33 St,270,7226.03,40.779399,-73.905708
59,20 Ave & 38 St,6577,7196.04,40.777112,-73.902382
60,20 Ave & 42 St,2440,7163.07,40.775415,-73.900063
61,20 Ave & 48 St,2317,7066.01,40.772899,-73.896849
62,20 Ave & Shore Blvd,2068,7391.02,40.785994,-73.915098
63,21 Ave & 80 St,1786,7060.02,40.770888,-73.889914
