,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,2020-01-26,18,289,2020-01-26,18,40.0,249.0,672.3601398601398,524.0,0.9395358776454381,0.8216425812390172
1,2020-01-26,19,1649,2020-01-26,19,134.0,1515.0,696.3652912621359,500.5,0.926985315915956,0.7234191987071873
2,2020-01-26,20,1103,2020-01-26,20,117.0,986.0,676.1115140525839,485.0,0.8634091875724021,0.6843031426718998
3,2020-01-26,21,892,2020-01-26,21,78.0,814.0,641.4248878923767,476.0,0.9076105330902782,0.711656712681709
4,2020-01-26,22,656,2020-01-26,22,67.0,589.0,654.6819571865443,465.0,0.9581114465608528,0.7151668509228954
5,2020-01-26,23,384,2020-01-26,23,40.0,344.0,681.4569190600522,467.0,1.0104748603312201,0.7458877515048296
6,2020-01-27,0,210,2020-01-27,0,13.0,197.0,593.4428571428572,381.5,0.8541830484585554,0.6652936249933175
7,2020-01-27,1,91,2020-01-27,1,8.0,83.0,646.6153846153846,494.0,0.8479935613156739,0.6441850430330777
8,2020-01-27,2,65,2020-01-27,2,3.0,62.0,545.9384615384615,444.0,0.9444761013427891,0.6069641113479334
9,2020-01-27,3,38,2020-01-27,3,6.0,32.0,770.0526315789474,509.5,1.0647398090456797,0.5610377968607598
10,2020-01-27,4,74,2020-01-27,4,6.0,68.0,636.3287671232877,404.0,1.187156668075921,0.7916881169342065
11,2020-01-27,5,463,2020-01-27,5,13.0,450.0,542.2056277056278,425.0,0.9758361721588745,0.7922575179050259
12,2020-01-27,6,1398,2020-01-27,6,27.0,1371.0,563.7825464949929,440.0,0.9956354236678594,0.7784695802048791
13,2020-01-27,7,3010,2020-01-27,7,68.0,2942.0,665.8578073089701,496.5,1.1302436442926884,0.8391201977963381
14,2020-01-27,8,5426,2020-01-27,8,140.0,5286.0,709.1852534562212,558.0,1.1730990195466202,0.9058743027532494
15,2020-01-27,9,3398,2020-01-27,9,128.0,3270.0,682.354449027696,538.5,1.052600504807682,0.8449512363765577
16,2020-01-27,10,1689,2020-01-27,10,108.0,1581.0,700.7485172004745,523.5,1.0003740417737734,0.7699023037495837
17,2020-01-27,11,1561,2020-01-27,11,119.0,1442.0,678.1538461538462,503.5,0.9012020240123665,0.6987958971122128
18,2020-01-27,12,1907,2020-01-27,12,149.0,1758.0,672.8284365162644,477.0,0.8721634217027991,0.6584818377744937
19,2020-01-27,13,1955,2020-01-27,13,141.0,1814.0,632.7063938618926,455.0,0.8448820874101639,0.6529596362662631
20,2020-01-27,14,2006,2020-01-27,14,148.0,1858.0,649.1651696606787,484.0,0.8914214151370243,0.6900111769519564
21,2020-01-27,15,2254,2020-01-27,15,165.0,2089.0,674.9223257878384,509.0,0.9424526745800272,0.7365189278024871
22,2020-01-27,16,2994,2020-01-27,16,193.0,2801.0,694.5346038114343,532.0,1.0376051219297644,0.8041953899073675
23,2020-01-27,17,5014,2020-01-27,17,171.0,4843.0,713.8428828109403,555.0,1.1276786729026604,0.8732518444867626
24,2020-01-27,18,4934,2020-01-27,18,180.0,4754.0,699.9087591240876,545.0,1.1022420665086294,0.8482527202326537
25,2020-01-27,19,3164,2020-01-27,19,129.0,3035.0,664.3846883897501,509.0,1.0186467826432188,0.7991672907858696
26,2020-01-27,20,2169,2020-01-27,20,102.0,2067.0,667.3377941855099,494.0,1.0048959221057117,0.7645635788233363
27,2020-01-27,21,1477,2020-01-27,21,105.0,1372.0,657.5084860828242,494.0,0.976845519244483,0.7591779809947198
28,2020-01-27,22,793,2020-01-27,22,52.0,741.0,703.2427307206068,539.0,1.0265785816050261,0.8333791453191491
29,2020-01-27,23,444,2020-01-27,23,33.0,411.0,651.1060948081264,479.0,0.9323410395501747,0.7069967546678395
30,2020-01-28,0,201,2020-01-28,0,21.0,180.0,709.8159203980099,485.0,0.9905419102137922,0.7760791352390938
31,2020-01-28,1,132,2020-01-28,1,7.0,125.0,585.9166666666666,355.5,0.7528733805045161,0.5405046848207189
32,2020-01-28,2,77,2020-01-28,2,4.0,73.0,538.2894736842105,379.0,0.8037666502945464,0.6530643568514022
33,2020-01-28,3,56,2020-01-28,3,2.0,54.0,624.1607142857143,381.5,0.8056695172756208,0.6117127064161858
34,2020-01-28,4,83,2020-01-28,4,5.0,78.0,670.2168674698795,489.0,1.0694574618809782,0.839162970521977
35,2020-01-28,5,469,2020-01-28,5,7.0,462.0,577.2835820895523,422.0,0.9839714594000526,0.7451232266834543
36,2020-01-28,6,1553,2020-01-28,6,47.0,1506.0,567.8389175257732,436.0,0.9940011243650391,0.7696621502169783
