,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,2021-01-01,0,524,2021-01-01,0,136.0,388.0,1049.0058139534883,730.0,1.1712836671720208,0.9029500621270711
1,2021-01-01,1,564,2021-01-01,1,174.0,390.0,1032.7388193202146,804.0,1.45192903014045,1.153364154073084
2,2021-01-01,2,401,2021-01-01,2,142.0,259.0,1116.7575757575758,795.0,1.466869826372689,1.1825470129878153
3,2021-01-01,3,275,2021-01-01,3,103.0,172.0,1014.1459854014598,741.5,1.4108285673869994,1.0635319253637543
4,2021-01-01,4,142,2021-01-01,4,41.0,101.0,1129.9788732394366,759.0,1.295054691539796,0.8605265822746724
5,2021-01-01,5,101,2021-01-01,5,15.0,86.0,698.7425742574258,363.0,0.9565862191306082,0.6398364978079348
6,2021-01-01,6,223,2021-01-01,6,29.0,194.0,794.7309417040359,506.0,1.231663612943946,0.9176961553000323
7,2021-01-01,7,350,2021-01-01,7,45.0,305.0,641.2457142857143,409.5,1.0215690175892091,0.710031143967494
8,2021-01-01,8,421,2021-01-01,8,42.0,379.0,661.4190476190477,414.5,1.0197267187865418,0.6856358252327296
9,2021-01-01,9,698,2021-01-01,9,87.0,611.0,814.5423242467718,528.0,1.0814038395375931,0.8019362717714456
10,2021-01-01,10,1124,2021-01-01,10,170.0,954.0,878.4190391459075,573.5,1.1603063541853882,0.8517995695190038
11,2021-01-01,11,1491,2021-01-01,11,233.0,1258.0,954.8333333333334,647.0,1.168757915852283,0.855346830096986
12,2021-01-01,12,1895,2021-01-01,12,391.0,1504.0,1017.3592592592593,692.0,1.208273898701303,0.9080672494918508
13,2021-01-01,13,2250,2021-01-01,13,499.0,1751.0,1065.479250334672,751.0,1.2543451915213848,0.9328316869422996
14,2021-01-01,14,2515,2021-01-01,14,579.0,1936.0,1068.2941410920685,747.0,1.193662882537435,0.8937078594786679
15,2021-01-01,15,2286,2021-01-01,15,480.0,1806.0,1017.3102541630149,751.0,1.1596466381813935,0.8924544168390202
16,2021-01-01,16,1399,2021-01-01,16,282.0,1117.0,913.6640344580043,638.0,1.07086787197941,0.7615307412709033
17,2021-01-01,17,696,2021-01-01,17,122.0,574.0,840.5525179856115,609.0,1.0579829674067853,0.8180990973389528
18,2021-01-01,18,549,2021-01-01,18,84.0,465.0,865.4515539305302,570.0,1.0292217533043428,0.7217604306083159
19,2021-01-01,19,287,2021-01-01,19,55.0,232.0,872.548951048951,498.5,0.8156854283503482,0.6521350382018453
20,2021-01-01,20,196,2021-01-01,20,33.0,163.0,875.265306122449,545.5,0.932293980707867,0.7110556786869884
21,2021-01-01,21,130,2021-01-01,21,32.0,98.0,799.7519379844962,528.0,0.7818812481227,0.5641908480498241
22,2021-01-01,22,124,2021-01-01,22,20.0,104.0,721.9186991869918,508.0,0.9693015088160409,0.7552468381619971
23,2021-01-01,23,149,2021-01-01,23,39.0,110.0,701.9261744966443,478.0,0.962955007909947,0.8136746129278835
24,2021-01-02,0,128,2021-01-02,0,29.0,99.0,726.4453125,543.5,0.9284262842821392,0.6941722548099897
25,2021-01-02,1,75,2021-01-02,1,15.0,60.0,640.0533333333333,394.0,0.9267298030358426,0.6128704853222406
26,2021-01-02,2,57,2021-01-02,2,12.0,45.0,811.859649122807,597.0,1.0752254634202045,0.8157591195914424
27,2021-01-02,3,47,2021-01-02,3,18.0,29.0,949.3191489361702,737.0,1.1031315893040354,0.8693503421365689
