,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,1/1/2022,0,1256,1/1/2022,0,593,663,1067.955056,779,1.274139258,0.971132511
1,1/1/2022,1,1394,1/1/2022,1,599,795,897.76,662,1.250334405,0.99724466
2,1/1/2022,2,1156,1/1/2022,2,494,662,855.5874674,642,1.256917965,0.994985714
3,1/1/2022,3,582,1/1/2022,3,220,362,848.8249567,584,1.237666343,0.910779718
4,1/1/2022,4,324,1/1/2022,4,122,202,807.078125,606.5,1.269411533,0.941225534
5,1/1/2022,5,200,1/1/2022,5,62,138,705.8542714,535,1.141436755,0.858896685
6,1/1/2022,6,246,1/1/2022,6,61,185,625.6393443,440.5,1.14612256,0.8337593
7,1/1/2022,7,237,1/1/2022,7,32,205,653.7744681,443,1.074821004,0.851785365
8,1/1/2022,8,271,1/1/2022,8,48,223,674.7343173,462,1.104309014,0.811563191
9,1/1/2022,9,489,1/1/2022,9,77,412,683.3442623,461,0.997511315,0.767577923
10,1/1/2022,10,613,1/1/2022,10,142,471,815.5457516,536,1.010987071,0.767737758
11,1/1/2022,11,926,1/1/2022,11,195,731,743.3802817,484,0.956823014,0.748908385
12,1/1/2022,12,1071,1/1/2022,12,281,790,828.4658559,563,0.9972097,0.767041794
13,1/1/2022,13,1456,1/1/2022,13,419,1037,925.3977901,611.5,1.088870295,0.818343395
14,1/1/2022,14,1727,1/1/2022,14,536,1191,955.4684211,647,1.091343727,0.874453706
15,1/1/2022,15,2407,1/1/2022,15,799,1608,1017.261945,677.5,1.057739565,0.810522012
16,1/1/2022,16,2399,1/1/2022,16,828,1571,974.0713986,663,1.07496847,0.806693233
17,1/1/2022,17,1295,1/1/2022,17,327,968,789.7621998,565,0.96313143,0.784436581
18,1/1/2022,18,960,1/1/2022,18,224,736,748.6890052,557,0.936514337,0.770805123
19,1/1/2022,19,623,1/1/2022,19,138,485,762.6326861,498,0.859084859,0.696903545
20,1/1/2022,20,490,1/1/2022,20,112,378,784.3835052,528,0.923536693,0.739643423
21,1/1/2022,21,270,1/1/2022,21,76,194,777.0298507,536.5,0.864891645,0.711869827
22,1/1/2022,22,153,1/1/2022,22,28,125,608.02,438,0.855961295,0.646200205
23,1/1/2022,23,222,1/1/2022,23,61,161,820.8348624,545.5,1.050437055,0.855674473
24,1/2/2022,0,247,1/2/2022,0,71,176,712.8765432,498,1.217492269,0.924098724
25,1/2/2022,1,244,1/2/2022,1,86,158,712.7302905,476,1.051278801,0.711512279
26,1/2/2022,2,189,1/2/2022,2,67,122,879.4972973,546,1.036434589,0.843176333
27,1/2/2022,3,135,1/2/2022,3,53,82,816.075188,561,1.213077046,0.882429399
28,1/2/2022,4,119,1/2/2022,4,41,78,764.6923077,387,1.228650312,0.729609415
29,1/2/2022,5,80,1/2/2022,5,20,60,673.5125,462,1.004899369,0.787638004
30,1/2/2022,6,242,1/2/2022,6,45,197,673.4957627,497.5,1.257836594,0.974095923
31,1/2/2022,7,461,1/2/2022,7,75,386,643.4486607,484,1.163576355,0.869207938
32,1/2/2022,8,949,1/2/2022,8,152,797,717.5526036,479,1.079628097,0.821475455
33,1/2/2022,9,1426,1/2/2022,9,319,1107,808.0915543,535,1.131874597,0.835886278
34,1/2/2022,10,2377,1/2/2022,10,562,1815,886.6857631,574,1.154063869,0.876840199
35,1/2/2022,11,3224,1/2/2022,11,847,2377,968.781995,638,1.182272941,0.897732481
36,1/2/2022,12,3947,1/2/2022,12,1078,2869,954.1717068,637.5,1.189818347,0.89866715
37,1/2/2022,13,4457,1/2/2022,13,1370,3087,1050.641582,697,1.195043407,0.889530587
38,1/2/2022,14,4932,1/2/2022,14,1582,3350,1043.518949,729,1.180590369,0.887467968
39,1/2/2022,15,4955,1/2/2022,15,1478,3477,1043.253201,725,1.140663841,0.879760303
40,1/2/2022,16,4569,1/2/2022,16,1429,3140,934.1876788,666,1.122341754,0.856988223
41,1/2/2022,17,3284,1/2/2022,17,863,2421,827.9283966,594,1.049866068,0.793743802
42,1/2/2022,18,2555,1/2/2022,18,628,1927,740.6632492,542.5,1.012635737,0.759810683
43,1/2/2022,19,1790,1/2/2022,19,425,1365,715.228475,512,0.990045563,0.765792166
44,1/2/2022,20,1268,1/2/2022,20,299,969,693.6819984,491,0.931002181,0.720127709
