,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,2/1/2021,0,41,2/1/2021,0,10,31,974.0487805,571,0.633344067,0.573444331
1,2/1/2021,1,26,2/1/2021,1,6,20,1259.4,836,0.91027276,0.708073457
2,2/1/2021,2,15,2/1/2021,2,4,11,881.2,561,1.046737689,0.450184003
3,2/1/2021,3,7,2/1/2021,3,2,5,1118.857143,910,1.050525585,0.403690866
4,2/1/2021,4,15,2/1/2021,4,3,12,1070,906,1.227021406,1.068590837
5,2/1/2021,5,53,2/1/2021,5,1,52,550.2307692,181.5,0.653168227,0.121522195
6,2/1/2021,6,86,2/1/2021,6,3,83,469.8139535,327,0.688851519,0.468954813
7,2/1/2021,7,6,2/1/2021,7,0,6,599.1666667,618.5,0.726135724,0.771887356
8,2/3/2021,11,23,2/3/2021,11,3,20,903.0434783,622,0.708150272,0.502761552
9,2/3/2021,12,309,2/3/2021,12,30,279,1084.406557,821,1.010065763,0.80561785
10,2/3/2021,13,401,2/3/2021,13,46,355,1084.422392,806,1.052717209,0.801904795
11,2/3/2021,14,602,2/3/2021,14,66,536,1021.87563,774,1.089502857,0.814478055
12,2/3/2021,15,688,2/3/2021,15,88,600,1006.734904,763,1.075050674,0.844250543
13,2/3/2021,16,840,2/3/2021,16,99,741,1032.432335,763,1.10796216,0.857406562
14,2/3/2021,17,905,2/3/2021,17,83,822,932.2575251,716,1.121238962,0.873466091
15,2/3/2021,18,909,2/3/2021,18,86,823,884.2236988,664,1.047098919,0.811331104
16,2/3/2021,19,683,2/3/2021,19,78,605,887.1285081,677,1.085692902,0.858278456
17,2/3/2021,20,448,2/3/2021,20,52,396,888.2432432,662.5,0.956549439,0.733196246
18,2/3/2021,21,306,2/3/2021,21,39,267,893.2664474,702.5,1.129572355,0.888660574
19,2/3/2021,22,238,2/3/2021,22,32,206,903.0042194,658,1.134987101,0.815716298
20,2/3/2021,23,128,2/3/2021,23,21,107,817.2698413,537,0.912116704,0.724665177
21,2/4/2021,0,98,2/4/2021,0,10,88,782.09375,471,0.90516186,0.640050058
22,2/4/2021,1,52,2/4/2021,1,14,38,931.5,653,1.070205618,0.529499441
23,2/4/2021,2,46,2/4/2021,2,10,36,866.4130435,423,1.115766132,0.398143019
24,2/4/2021,3,50,2/4/2021,3,6,44,551.28,213,0.761171859,0.202287986
25,2/4/2021,4,52,2/4/2021,4,2,50,621.9038462,328,0.847311271,0.449632387
26,2/4/2021,5,149,2/4/2021,5,6,143,708.6122449,540,1.04151784,0.860940132
27,2/4/2021,6,403,2/4/2021,6,24,379,744.7738693,639.5,1.219487661,0.984495192
28,2/4/2021,7,704,2/4/2021,7,44,660,846.9012876,679,1.270272328,0.981580609
29,2/4/2021,8,1093,2/4/2021,8,92,1001,927.75369,762,1.274892349,1.039951455
30,2/4/2021,9,964,2/4/2021,9,92,872,930.1080797,757,1.210747788,1.00272516
31,2/4/2021,10,783,2/4/2021,10,85,698,946.1148387,754,1.17185511,0.895406178
32,2/4/2021,11,852,2/4/2021,11,77,775,956.6816038,726.5,1.091106624,0.843112029
33,2/4/2021,12,994,2/4/2021,12,98,896,902.1636364,691.5,1.048732714,0.80146145
