,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,2019-01-01,0,133,2019-01-01,0,14.0,119.0,770.8421052631579,618.0,1.1497627423132992,0.906351621000049
1,2019-01-01,1,272,2019-01-01,1,23.0,249.0,808.5367647058823,578.0,1.074219417372744,0.8329267795525286
2,2019-01-01,2,283,2019-01-01,2,39.0,244.0,841.4876325088339,623.0,1.1073473032204728,0.8696705795671977
3,2019-01-01,3,187,2019-01-01,3,10.0,177.0,657.989247311828,503.0,0.9595687780580527,0.6401807583120576
4,2019-01-01,4,120,2019-01-01,4,8.0,112.0,726.3833333333333,527.0,1.0313601661574259,0.710236426456355
5,2019-01-01,5,72,2019-01-01,5,8.0,64.0,832.3333333333334,547.5,1.047920585590543,0.7395533233461071
6,2019-01-01,6,151,2019-01-01,6,4.0,147.0,771.4866666666667,564.5,1.1444741625948223,0.8485746656326902
7,2019-01-01,7,198,2019-01-01,7,9.0,189.0,685.8172588832488,467.0,1.022395236742221,0.8274282696699149
8,2019-01-01,8,384,2019-01-01,8,29.0,355.0,693.5169712793734,440.0,0.9726317080306118,0.6875893367364803
9,2019-01-01,9,555,2019-01-01,9,53.0,502.0,751.2522522522522,503.0,0.968562653055772,0.7921357380244871
10,2019-01-01,10,929,2019-01-01,10,148.0,781.0,815.0387931034483,531.0,0.9546961513236898,0.7449711370633244
11,2019-01-01,11,1484,2019-01-01,11,340.0,1144.0,985.6141891891892,652.5,0.9969822014977028,0.7760067752567554
12,2019-01-01,12,1963,2019-01-01,12,526.0,1437.0,1057.330270546197,783.0,1.0620167204933157,0.8488366291871265
13,2019-01-01,13,2433,2019-01-01,13,735.0,1698.0,1143.080791426216,872.0,1.0908372084727969,0.8520120717284992
14,2019-01-01,14,2526,2019-01-01,14,781.0,1745.0,1157.783644303295,890.0,1.1099182876107871,0.8834181911458469
15,2019-01-01,15,2384,2019-01-01,15,649.0,1735.0,1098.2760942760942,805.0,1.0346797680894184,0.783307450564205
16,2019-01-01,16,2102,2019-01-01,16,466.0,1636.0,933.3691499522445,655.5,1.0092121188254468,0.8029419886390746
17,2019-01-01,17,1558,2019-01-01,17,287.0,1271.0,817.4029562982005,571.0,0.9608957860068976,0.7412218902418906
